"","ID","especie","ang_rii","aro_rii","cat_rii","diam_madeira_mm","vol_mad","peso_seco_madeira","peso_fresco_mad","peso_sat_mad","diam_casca","diam2_casca","vol_casca","peso_seco_casca","peso_fresco_casca","peso_sat_casca","H_arvore","diam_copa","dens_mad","dens_casca","cap_arm_mad","cap_arm_casca","cont_agua_mad","cont_agua_casca","efet_agua_mad","efet_agua_casca","thick_casca"
"19","155","favelinha",0.06940916,0.014081319,0.1702939,14.5,2.79,2.36,3.21,3.37,0.3,0.6,0.17,0.14,0.2,0.28,2,1.5,0.845878136200717,0.823529411764706,0.427966101694915,1,0.360169491525424,0.428571428571428,0.841584158415841,0.428571428571428,0.45
"20","124","favelinha",0.00049825,-0.09075645,0.003189914,15.5,4.52,3.8,5.18,5.32,0.6,0.6,0.28,0.19,0.33,0.48,3.5,3.235,0.84070796460177,0.678571428571428,0.4,1.52631578947368,0.363157894736842,0.736842105263158,0.907894736842105,0.482758620689655,0.6
"21","154","favelinha",0.09310977,0.118529121,0.154035308,11.7,3.42,2.91,4.06,4.28,0.3,0.6,0.13,0.11,0.12,0.23,3.5,0.74,0.850877192982456,0.846153846153846,0.470790378006873,1.09090909090909,0.395189003436426,0.0909090909090909,0.83941605839416,0.0833333333333333,0.45
"22","24","feijao",0.159006938,0.4139017,0.159006938,24.8,11.83,8.75,13.46,14.11,1.5,2,0.75,0.41,0.86,1.02,4,4.3,0.739644970414201,0.546666666666667,0.612571428571429,1.48780487804878,0.538285714285714,1.09756097560976,0.878731343283582,0.737704918032787,1.75
"23","75","feijao",0.23918196,-0.14858925,0.23918196,18.1,8.1,5.8,9.45,9.89,1.2,1.2,0.69,0.31,0.75,0.82,3,2.35,0.716049382716049,0.449275362318841,0.705172413793104,1.64516129032258,0.629310344827586,1.41935483870968,0.89242053789731,0.862745098039216,1.2
"24","134","feijao",0.16243961,0.100562878,0.16243961,19.2,7.2,5.54,8.57,8.71,1.5,0.6,0.62,0.34,0.68,0.79,3.5,4.15,0.769444444444444,0.548387096774194,0.572202166064982,1.32352941176471,0.546931407942238,1,0.95583596214511,0.755555555555556,1.05
"25","27","imbiratanha",-0.083486969,-0.02472793,-0.083486969,27.8,15.2,4.75,12.46,13.84,4.8,5.2,1.99,0.65,2.1,2.28,7.5,5.45,0.3125,0.326633165829146,1.91368421052632,2.50769230769231,1.62315789473684,2.23076923076923,0.848184818481848,0.889570552147239,5
"26","73","imbiratanha",0.266475785,0.251422321,0.266475785,22.6,6.12,1.95,4.59,5.5,3.4,3.9,1.47,0.78,1.54,1.8,4.5,2.5,0.318627450980392,0.530612244897959,1.82051282051282,1.30769230769231,1.35384615384615,0.974358974358974,0.743661971830986,0.745098039215686,3.65
"27","78","imbiratanha",0.1171937,-0.25314822,0.1171937,32.1,15.3,4.02,11.45,13.72,3.6,3.9,1.92,0.68,1.95,2.28,6,3.95,0.262745098039216,0.354166666666667,2.41293532338309,2.35294117647059,1.84825870646766,1.86764705882353,0.765979381443299,0.79375,3.75
"28","57","imburana",-0.108424258,0.01081712,-0.108424258,24.7,7.65,2.65,5.95,6.8,0.6,0.6,0.2,0.07,0.21,0.25,3.5,2.5,0.34640522875817,0.35,1.56603773584906,2.57142857142857,1.24528301886792,2,0.795180722891566,0.777777777777778,0.6
"29","151","imburana",0.25783483,0.128392395,0.25783483,24.9,6.13,1.73,5.02,5.74,0.8,1.1,0.25,0.07,0.3,0.37,4,4.2,0.282218597063622,0.28,2.31791907514451,4.28571428571429,1.90173410404624,3.28571428571429,0.820448877805486,0.766666666666667,0.95
"30","76","imburana",-0.03229153,-0.4750072,-0.03229153,42.5,28.32,10.41,27.91,29.52,1.8,1.8,2.6,0.72,2.69,3.23,7.5,5.3,0.367584745762712,0.276923076923077,1.835734870317,3.48611111111111,1.68107588856868,2.73611111111111,0.915750915750916,0.784860557768924,1.8
"31","34","ipe",-0.065459553,0.01452179,-0.065459553,25.2,24.44,19.23,27.87,27.93,1.1,1.9,2.56,1.27,2.87,3.66,6,6,0.786824877250409,0.49609375,0.452418096723869,1.88188976377953,0.449297971918877,1.25984251968504,0.993103448275862,0.669456066945607,1.5
"32","132","ipe",0.09033927,0.114384019,0.09033927,15.7,3.79,3.39,4.68,4.78,2.8,2.1,2.45,1.46,2.8,3.71,6,6.55,0.894459102902375,0.595918367346939,0.410029498525074,1.54109589041096,0.380530973451327,0.917808219178082,0.928057553956834,0.595555555555556,2.45
"33","118","ipe",0.004365079,-0.07260983,0.004365079,20.3,6.69,5.43,7.66,7.77,2.3,1.6,1.77,1.08,2.13,3.3,4.5,5,0.811659192825112,0.610169491525424,0.430939226519337,2.05555555555556,0.410681399631676,0.972222222222222,0.952991452991453,0.472972972972973,1.95
"34","46","jubranca",0.045337594,0.099516437,0.045337594,19.2,4.34,3.55,4.76,5.4,0.3,0.8,0.05,0.02,0.07,0.12,6,3.25,0.817972350230415,0.4,0.52112676056338,5,0.340845070422535,2.5,0.654054054054054,0.5,0.55
"35","56","jubranca",-0.05534687,0.36821654,-0.05534687,30,12.08,9.23,11.99,13.81,1.8,1.6,0.23,0.13,0.27,0.38,5.5,8.1,0.764072847682119,0.565217391304348,0.496208017334778,1.92307692307692,0.299024918743229,1.07692307692308,0.602620087336245,0.56,1.7
"36","68","jubranca",0.336085937,0.101940252,0.336085937,15.5,3.71,2.74,3.54,4.15,1.2,1,0.13,0.04,0.1,0.13,7.5,5.4,0.738544474393531,0.307692307692308,0.514598540145985,2.25,0.291970802919708,1.5,0.567375886524823,0.666666666666667,1.1
"37","130","juca",-0.155139662,-0.14725397,-0.155139662,18.8,7.7,6.08,8.8,8.9,0.5,0.6,0.62,0.33,0.72,0.86,4.5,7.85,0.78961038961039,0.532258064516129,0.463815789473684,1.60606060606061,0.447368421052632,1.18181818181818,0.964539007092199,0.735849056603774,0.55
"38","136","juca",0.195005102,-0.139130358,0.195005102,18.5,6.21,4.42,7.23,7.31,1.1,0.9,0.37,0.18,0.42,0.52,4.6,8.95,0.711755233494364,0.486486486486486,0.653846153846154,1.88888888888889,0.635746606334842,1.33333333333333,0.972318339100346,0.705882352941176,1
"39","145","juca",-0.23615829,-0.007501175,-0.23615829,29.6,11.84,9.85,14.47,14.7,0.2,0.3,0.27,0.18,0.34,0.44,4.5,6.15,0.831925675675676,0.666666666666667,0.49238578680203,1.44444444444444,0.469035532994924,0.888888888888889,0.952577319587629,0.615384615384615,0.25
"40","22","jupreta",0.412908327,-0.014606654,0.412908327,32.3,33.11,27.63,38.28,39.99,2.8,2,1.75,1.09,1.68,2.15,6,6.9,0.834491090305044,0.622857142857143,0.447339847991314,0.972477064220183,0.385450597176982,0.541284403669725,0.861650485436893,0.556603773584906,2.4
"41","20","jupreta",0.303058427,0.02549577,0.303058427,23.1,7.4,5.76,7.91,8.95,1.2,1.3,0.28,0.19,0.37,0.47,5.5,6.4,0.778378378378378,0.678571428571428,0.553819444444444,1.47368421052632,0.373263888888889,0.947368421052632,0.673981191222571,0.642857142857143,1.25
"42","125","jupreta",0.012884062,-0.083757392,0.012884062,18,7.36,5.95,8.22,8.61,1.3,1.4,0.65,0.4,0.69,0.82,4,6.75,0.808423913043478,0.615384615384615,0.447058823529412,1.05,0.381512605042017,0.725,0.853383458646617,0.69047619047619,1.35
"43","48","marmeleiro",-0.082337185,0.064265794,-0.082337185,24.4,7.34,5.05,6.74,7.37,1.1,0.8,0.26,0.2,0.31,0.4,3,3.2,0.688010899182561,0.769230769230769,0.459405940594059,1,0.334653465346535,0.55,0.728448275862069,0.55,0.95
"44","51","marmeleiro",0.03264924,0.88789683,0.03264924,16.9,3.54,2.55,3.32,3.58,0.8,0.4,0.51,0.34,0.62,0.76,3.5,2.2,0.720338983050847,0.666666666666667,0.403921568627451,1.23529411764706,0.301960784313726,0.823529411764706,0.74757281553398,0.666666666666667,0.6
"45","61","marmeleiro",0.15966254,0.19210031,0.15966254,11.4,2.13,1.7,2.2,2.42,0.5,0.6,0.6,0.5,0.8,1.18,2.5,2.55,0.7981220657277,0.833333333333333,0.423529411764706,1.36,0.294117647058824,0.6,0.694444444444445,0.441176470588235,0.55
"46","62","mofumbo",0.084823828,0.099700669,0.084823828,23.5,6.72,5.14,7.03,7.88,0.5,0.9,0.19,0.1,0.21,0.28,3.5,3.65,0.764880952380952,0.526315789473684,0.53307392996109,1.8,0.367704280155642,1.1,0.68978102189781,0.611111111111111,0.7
