nurse,target,plot,rii_medf,rii_medalt
algodao,angico,113,0.087752525300,0.087752525300
algodao,angico,122,-0.092857142900,-0.092857142900
algodao,angico,123,0.062996031800,0.062996031800
algodao,angico,156,0.018939393900,0.018939393900
algodao,angico,157,0.136904761900,0.136904761900
algodao,aroeira,113,0.245726495600,0.245726495600
algodao,aroeira,122,-0.140277777800,-0.140277777800
algodao,aroeira,123,0.106672932400,0.106672932400
algodao,aroeira,156,-0.082638888900,-0.082638888900
algodao,aroeira,157,0.054495614000,0.054495614000
algodao,cating,113,0.087752525300,0.087752525300
algodao,cating,122,-0.092857142900,-0.092857142900
algodao,cating,123,0.062996031800,0.062996031800
algodao,cating,156,0.018939393900,0.018939393900
algodao,cating,157,0.136904761900,0.136904761900
angico,angico,38,0.025000000000,0.025000000000
angico,angico,58,-0.008928571400,-0.008928571400
angico,angico,85,0.019345238000,0.019345238000
angico,angico,111,-0.142857142900,-0.142857142900
angico,angico,144,0.314186507900,0.314186507900
angico,aroeira,38,-0.397779304100,-0.397779304100
angico,aroeira,58,0.087797619000,0.087797619000
angico,aroeira,85,-0.223753842800,-0.223753842800
angico,aroeira,111,-0.350935990300,-0.350935990300
angico,aroeira,144,-0.077765151500,-0.077765151500
angico,cating,38,0.025000000000,0.025000000000
angico,cating,58,-0.008928571400,-0.008928571400
angico,cating,85,0.019345238000,0.019345238000
angico,cating,111,-0.142857142900,-0.142857142900
angico,cating,144,0.314186507900,0.314186507900
burra,angico,41,0.265740740800,0.265740740800
burra,angico,81,-0.119444444400,-0.119444444400
burra,angico,88,-0.054563492000,-0.054563492000
burra,angico,102,-0.156250000000,-0.156250000000
burra,angico,128,0.111607142900,0.111607142900
burra,aroeira,41,-0.248015873000,-0.248015873000
burra,aroeira,81,0.040909090800,0.040909090800
burra,aroeira,88,0.079816017400,0.079816017400
burra,aroeira,102,-0.322038398800,-0.322038398800
burra,aroeira,128,0.018419913300,0.018419913300
burra,cating,41,0.265740740800,0.265740740800
burra,cating,81,-0.119444444400,-0.119444444400
burra,cating,88,-0.054563492000,-0.054563492000
burra,cating,102,-0.156250000000,-0.156250000000
burra,cating,128,0.111607142900,0.111607142900
catanduva,angico,30,0.451785714300,0.451785714300
catanduva,angico,43,0.220238095300,0.220238095300
catanduva,angico,65,0.032142857100,0.032142857100
catanduva,angico,108,0.437500000000,0.437500000000
catanduva,angico,131,-0.025000000000,-0.025000000000
catanduva,aroeira,30,-0.193997221300,-0.193997221300
catanduva,aroeira,43,-0.203801169600,-0.203801169600
catanduva,aroeira,65,0.091666666600,0.091666666600
catanduva,aroeira,108,-0.106281328400,-0.106281328400
catanduva,aroeira,131,-0.324616228000,-0.324616228000
catanduva,cating,30,0.451785714300,0.451785714300
catanduva,cating,43,0.220238095300,0.220238095300
catanduva,cating,65,0.032142857100,0.032142857100
catanduva,cating,108,0.437500000000,0.437500000000
catanduva,cating,131,-0.025000000000,-0.025000000000
catingueira,angico,21,-0.052083333300,-0.052083333300
catingueira,angico,35,-0.117234848600,-0.117234848600
catingueira,angico,64,0.050000000000,0.050000000000
catingueira,angico,95,0.104166666600,0.104166666600
catingueira,angico,127,-0.098214285800,-0.098214285800
catingueira,aroeira,21,-0.170833333400,-0.170833333400
catingueira,aroeira,35,-0.031696262600,-0.031696262600
catingueira,aroeira,64,0.014674185400,0.014674185400
catingueira,aroeira,95,0.205555555600,0.205555555600
catingueira,aroeira,127,-0.309416806000,-0.309416806000
catingueira,cating,21,-0.052083333300,-0.052083333300
catingueira,cating,35,-0.117234848600,-0.117234848600
catingueira,cating,64,0.050000000000,0.050000000000
catingueira,cating,95,0.104166666600,0.104166666600
catingueira,cating,127,-0.098214285800,-0.098214285800
cumaru,angico,23,-0.053571428500,-0.053571428500
cumaru,angico,53,-0.233333333300,-0.233333333300
cumaru,angico,97,0.295238095300,0.295238095300
cumaru,angico,100,-0.142424242400,-0.142424242400
cumaru,angico,149,0.208333333400,0.208333333400
cumaru,aroeira,23,0.340625000000,0.340625000000
cumaru,aroeira,53,-0.197026143800,-0.197026143800
cumaru,aroeira,97,0.340272556400,0.340272556400
cumaru,aroeira,100,-0.277020676600,-0.277020676600
cumaru,aroeira,149,0.408322746300,0.408322746300
cumaru,cating,23,-0.053571428500,-0.053571428500
cumaru,cating,53,-0.233333333300,-0.233333333300
cumaru,cating,97,0.295238095300,0.295238095300
cumaru,cating,100,-0.142424242400,-0.142424242400
cumaru,cating,149,0.208333333400,0.208333333400
favelinha,angico,124,0.038095238300,0.038095238300
favelinha,angico,138,-0.094551282100,-0.094551282100
favelinha,angico,153,0.083333333500,0.083333333500
favelinha,angico,154,0.267857142800,0.267857142800
favelinha,angico,155,0.258893557400,0.258893557400
favelinha,aroeira,124,-0.243125000000,-0.243125000000
favelinha,aroeira,138,-0.074504443000,-0.074504443000
favelinha,aroeira,153,-0.082967836300,-0.082967836300
favelinha,aroeira,154,0.079558982600,0.079558982600
favelinha,aroeira,155,0.006469979300,0.006469979300
favelinha,cating,124,0.038095238300,0.038095238300
favelinha,cating,138,-0.094551282100,-0.094551282100
favelinha,cating,153,0.083333333500,0.083333333500
favelinha,cating,154,0.267857142800,0.267857142800
