plot,espnurse,target,variable,crescf,cresca
138,favelinha,cating,ntaxa,0,0
138,favelinha,aroeira,ntaxa,-0.1097560976,-0.0243902439
124,favelinha,angico,ntaxa,-0.0731707317,-0.1341463415
124,favelinha,cating,ntaxa,-0.0487804878,-0.0243902439
124,favelinha,aroeira,ntaxa,-0.1219512195,-0.012195122
153,favelinha,angico,ntaxa,-0.1097560976,0.0243902439
153,favelinha,cating,ntaxa,0,0
153,favelinha,aroeira,ntaxa,-0.0975609756,-0.5
154,favelinha,angico,ntaxa,-0.0365853659,-0.4756097561
154,favelinha,cating,ntaxa,-0.04,0.0133333333
154,favelinha,aroeira,ntaxa,-0.15,0.1
155,favelinha,angico,ntaxa,-0.0487804878,-0.1707317073
155,favelinha,cating,ntaxa,-0.0731707317,0.012195122
155,favelinha,aroeira,ntaxa,-0.1333333333,-0.0933333333
24,feijao,angico,ntaxa,-0.2804878049,-0.3414634146
24,feijao,cating,ntaxa,-0.0365853659,-0.012195122
24,feijao,aroeira,ntaxa,-0.08,-0.0266666667
67,feijao,angico,ntaxa,-0.0487804878,-0.3658536585
67,feijao,cating,ntaxa,-0.1585365854,-0.0243902439
67,feijao,aroeira,ntaxa,-0.44,0
75,feijao,angico,ntaxa,-0.0853658537,-0.4268292683
75,feijao,cating,ntaxa,-0.0365853659,-0.012195122
75,feijao,aroeira,ntaxa,-0.1333333333,-0.0266666667
80,feijao,angico,ntaxa,-0.0487804878,-0.243902439
80,feijao,cating,ntaxa,-0.0365853659,-0.3536585366
80,feijao,aroeira,ntaxa,-0.1166666667,-0.5
134,feijao,angico,ntaxa,-0.05,-0.0333333333
134,feijao,cating,ntaxa,-0.0606060606,0.0606060606
134,feijao,aroeira,ntaxa,-0.1341463415,0.1097560976
27,imbiratanha,angico,ntaxa,-0.0975609756,0
27,imbiratanha,cating,ntaxa,-0.0243902439,0
27,imbiratanha,aroeira,ntaxa,-0.1219512195,-0.012195122
150,imbiratanha,angico,ntaxa,-0.0731707317,-0.012195122
150,imbiratanha,cating,ntaxa,-0.0487804878,-0.0731707317
150,imbiratanha,aroeira,ntaxa,-0.1097560976,-0.0243902439
73,imbiratanha,angico,ntaxa,-0.1097560976,-0.0365853659
73,imbiratanha,cating,ntaxa,-0.0853658537,-0.1341463415
73,imbiratanha,aroeira,ntaxa,-0.1219512195,-0.0365853659
78,imbiratanha,angico,ntaxa,-0.0933333333,-0.0133333333
78,imbiratanha,cating,ntaxa,-0.0609756098,0.0365853659
78,imbiratanha,aroeira,ntaxa,-0.0975609756,-0.0243902439
160,imbiratanha,angico,ntaxa,-0.0853658537,0
160,imbiratanha,cating,ntaxa,-0.0609756098,-0.256097561
160,imbiratanha,aroeira,ntaxa,-0.1463414634,0.0365853659
57,imburana,angico,ntaxa,-0.1066666667,-0.3866666667
57,imburana,cating,ntaxa,-0.0365853659,-0.0731707317
57,imburana,aroeira,ntaxa,-0.1466666667,0.0133333333
151,imburana,angico,ntaxa,-0.1219512195,-0.012195122
151,imburana,cating,ntaxa,-0.0365853659,0
151,imburana,aroeira,ntaxa,-0.1219512195,-0.012195122
74,imburana,angico,ntaxa,-0.0487804878,-0.012195122
74,imburana,cating,ntaxa,-0.0853658537,-0.2195121951
74,imburana,aroeira,ntaxa,-0.0975609756,-0.012195122
76,imburana,angico,ntaxa,-0.152173913,-0.0434782609
76,imburana,cating,ntaxa,-0.0365853659,0.012195122
76,imburana,aroeira,ntaxa,-0.1585365854,-0.5
159,imburana,angico,ntaxa,-0.1707317073,-0.4390243902
159,imburana,cating,ntaxa,-0.1212121212,-0.7575757576
159,imburana,aroeira,ntaxa,-0.12,-0.0133333333
34,ipe,angico,ntaxa,-0.1666666667,-0.15
34,ipe,cating,ntaxa,-0.0609756098,-0.0243902439
34,ipe,aroeira,ntaxa,-0.1219512195,-0.0609756098
112,ipe,angico,ntaxa,-0.0853658537,-0.3658536585
112,ipe,cating,ntaxa,-0.0609756098,-0.3658536585
112,ipe,aroeira,ntaxa,-0.12,0.0266666667
55,ipe,angico,ntaxa,-0.1466666667,0
55,ipe,cating,ntaxa,-0.0365853659,0.012195122
55,ipe,aroeira,ntaxa,-0.0975609756,-0.012195122
132,ipe,angico,ntaxa,-0.0731707317,-0.0731707317
132,ipe,cating,ntaxa,-0.0243902439,0.0853658537
132,ipe,aroeira,ntaxa,-0.1585365854,-0.012195122
118,ipe,angico,ntaxa,0.0243902439,-0.0853658537
118,ipe,cating,ntaxa,0,0.0243902439
118,ipe,aroeira,ntaxa,-0.1463414634,-0.0609756098
130,juca,angico,ntaxa,-0.0853658537,0.0365853659
130,juca,cating,ntaxa,-0.012195122,0
130,juca,aroeira,ntaxa,-0.1219512195,0
136,juca,angico,ntaxa,-0.0853658537,-0.0365853659
136,juca,cating,ntaxa,-0.0731707317,-0.0365853659
136,juca,aroeira,ntaxa,-0.1341463415,-0.012195122
139,juca,angico,ntaxa,-0.1951219512,-0.0365853659
139,juca,cating,ntaxa,-0.0609756098,-0.0243902439
139,juca,aroeira,ntaxa,-0.0853658537,-0.0609756098
145,juca,angico,ntaxa,-0.0487804878,0.0365853659
145,juca,cating,ntaxa,-0.0243902439,-0.012195122
145,juca,aroeira,ntaxa,-0.0853658537,-0.012195122
148,juca,angico,ntaxa,-0.1219512195,0.012195122
148,juca,cating,ntaxa,-0.0609756098,0
148,juca,aroeira,ntaxa,-0.1219512195,-0.0853658537
46,jubranca,angico,ntaxa,-0.0731707317,-0.5487804878
46,jubranca,cating,ntaxa,-0.0975609756,-0.0609756098
46,jubranca,aroeira,ntaxa,-0.3636363636,0.2727272727
19,jubranca,angico,ntaxa,-0.0609756098,-0.5365853659
19,jubranca,cating,ntaxa,-0.0609756098,-0.1219512195
19,jubranca,aroeira,ntaxa,-0.3333333333,-0.0416666667
56,jubranca,angico,ntaxa,-0.0833333333,-0.5333333333
56,jubranca,cating,ntaxa,-0.0487804878,-0.2926829268
56,jubranca,aroeira,ntaxa,-0.2833333333,0.0333333333
70,jubranca,angico,ntaxa,-0.1166666667,-0.65
70,jubranca,cating,ntaxa,-0.012195122,0.012195122
70,jubranca,aroeira,ntaxa,-0.15,-0.5333333333
68,jubranca,angico,ntaxa,-0.1097560976,-0.3780487805
68,jubranca,cating,ntaxa,-0.0266666667,-0.0133333333
68,jubranca,aroeira,ntaxa,-0.1833333333,0
22,jupreta,angico,ntaxa,-0.1219512195,-0.012195122
22,jupreta,cating,ntaxa,-0.0487804878,0
22,jupreta,aroeira,ntaxa,-0.0731707317,-0.0487804878
98,jupreta,angico,ntaxa,-0.0609756098,-0.0365853659
98,jupreta,cating,ntaxa,-0.0365853659,-0.012195122
98,jupreta,aroeira,ntaxa,-0.0975609756,0.0365853659
20,jupreta,angico,ntaxa,-0.1219512195,-0.0243902439
20,jupreta,cating,ntaxa,-0.012195122,0.0365853659
20,jupreta,aroeira,ntaxa,-0.1463414634,-0.012195122
126,jupreta,angico,ntaxa,-0.0365853659,0.012195122
126,jupreta,cating,ntaxa,-0.0731707317,0
126,jupreta,aroeira,ntaxa,-0.0975609756,-0.012195122
125,jupreta,angico,ntaxa,-0.1097560976,0.012195122
125,jupreta,cating,ntaxa,-0.012195122,-0.1219512195
125,jupreta,aroeira,ntaxa,-0.0853658537,-0.0365853659
25,marmeleiro,angico,ntaxa,-0.2195121951,-0.4512195122
25,marmeleiro,cating,ntaxa,-0.0487804878,0
25,marmeleiro,aroeira,ntaxa,-0.16,0.0133333333
48,marmeleiro,angico,ntaxa,-0.0609756098,-0.2317073171
48,marmeleiro,cating,ntaxa,-0.0365853659,-0.3048780488
48,marmeleiro,aroeira,ntaxa,-0.2564102564,-0.0769230769
51,marmeleiro,angico,ntaxa,-0.1833333333,-0.0333333333
51,marmeleiro,cating,ntaxa,-0.0243902439,-0.0365853659
51,marmeleiro,aroeira,ntaxa,-0.1219512195,-0.0243902439
61,marmeleiro,angico,ntaxa,-0.1341463415,-0.0243902439
61,marmeleiro,cating,ntaxa,-0.0609756098,-0.0365853659
61,marmeleiro,aroeira,ntaxa,-0.1341463415,0.012195122
