plot,espnurse,target,variable,crescf,cresca
130,juca,angico,taxa,-0.1097560976,-0.5609756098
130,juca,cating,taxa,-0.0487804878,-0.0365853659
130,juca,aroeira,taxa,-0.1166666667,-0.0166666667
136,juca,angico,taxa,-0.0853658537,-0.4024390244
136,juca,cating,taxa,-0.0365853659,-0.0243902439
136,juca,aroeira,taxa,-0.2391304348,-0.0434782609
139,juca,angico,taxa,-0.0609756098,0.012195122
139,juca,cating,taxa,-0.0243902439,-0.0365853659
139,juca,aroeira,taxa,-0.0853658537,-0.0365853659
145,juca,angico,taxa,-0.0975609756,-0.3658536585
145,juca,cating,taxa,-0.1463414634,-0.012195122
145,juca,aroeira,taxa,-0.2820512821,0
148,juca,angico,taxa,-0.1219512195,0.0365853659
148,juca,cating,taxa,-0.0243902439,-0.0365853659
148,juca,aroeira,taxa,-0.1707317073,0.0243902439
46,jubranca,angico,taxa,-0.1829268293,-0.5609756098
46,jubranca,cating,taxa,-0.0243902439,0.012195122
46,jubranca,aroeira,taxa,-0.24,-0.12
19,jubranca,angico,taxa,-0.1097560976,-0.012195122
19,jubranca,cating,taxa,-0.0243902439,0
19,jubranca,aroeira,taxa,-0.1829268293,0
56,jubranca,angico,taxa,-0.1829268293,-0.4756097561
56,jubranca,cating,taxa,-0.0487804878,-0.3292682927
56,jubranca,aroeira,taxa,-0.1466666667,-0.52
70,jubranca,angico,taxa,-0.0833333333,-0.35
70,jubranca,cating,taxa,-0.0609756098,-0.012195122
70,jubranca,aroeira,taxa,-0.2,0.05
68,jubranca,angico,taxa,-0.0609756098,-0.5365853659
68,jubranca,cating,taxa,-0.0365853659,-0.243902439
68,jubranca,aroeira,taxa,-0.3043478261,-0.9130434783
22,jupreta,angico,taxa,-0.3166666667,0
22,jupreta,cating,taxa,-0.0533333333,-0.3866666667
22,jupreta,aroeira,taxa,-0.1585365854,0.012195122
98,jupreta,angico,taxa,-0.1166666667,0.0166666667
98,jupreta,cating,taxa,-0.0975609756,0
98,jupreta,aroeira,taxa,-0.1341463415,0
20,jupreta,angico,taxa,-0.0853658537,-0.4024390244
20,jupreta,cating,taxa,-0.0487804878,-0.2804878049
20,jupreta,aroeira,taxa,-0.52,-0.12
126,jupreta,angico,taxa,-0.1833333333,-0.35
126,jupreta,cating,taxa,-0.0243902439,0.012195122
126,jupreta,aroeira,taxa,-0.2564102564,-0.0769230769
125,jupreta,angico,taxa,-0.0975609756,-0.3780487805
125,jupreta,cating,taxa,-0.0365853659,-0.2926829268
125,jupreta,aroeira,taxa,-0.24,-0.04
25,marmeleiro,angico,taxa,-0.0933333333,0.0133333333
25,marmeleiro,cating,taxa,-0.0487804878,0.012195122
25,marmeleiro,aroeira,taxa,-0.1097560976,-0.012195122
48,marmeleiro,angico,taxa,-0.0975609756,0.0243902439
48,marmeleiro,cating,taxa,-0.0609756098,-0.3048780488
48,marmeleiro,aroeira,taxa,-0.1463414634,0.0365853659
51,marmeleiro,angico,taxa,-0.3666666667,-0.0333333333
51,marmeleiro,cating,taxa,-0.0365853659,0.0243902439
51,marmeleiro,aroeira,taxa,-0.1341463415,-0.3048780488
61,marmeleiro,angico,taxa,-0.1341463415,-0.5487804878
61,marmeleiro,cating,taxa,-0.5,-0.25
61,marmeleiro,aroeira,taxa,-0.0853658537,-0.0365853659
72,marmeleiro,angico,taxa,-0.0609756098,-0.012195122
72,marmeleiro,cating,taxa,-0.0731707317,-0.012195122
72,marmeleiro,aroeira,taxa,-0.0975609756,-0.012195122
62,mofumbo,angico,taxa,-0.012195122,-0.6585365854
62,mofumbo,cating,taxa,-0.012195122,-0.0731707317
62,mofumbo,aroeira,taxa,-0.36,-0.08
71,mofumbo,angico,taxa,-0.0731707317,-0.0243902439
71,mofumbo,cating,taxa,-0.0365853659,-0.012195122
71,mofumbo,aroeira,taxa,-0.1341463415,-0.5
60,mofumbo,angico,taxa,-0.2926829268,-0.0609756098
60,mofumbo,cating,taxa,-0.0487804878,0
60,mofumbo,aroeira,taxa,-0.1707317073,-0.4024390244
137,mofumbo,angico,taxa,-0.1097560976,-0.3658536585
137,mofumbo,cating,taxa,-0.16,-1.12
137,mofumbo,aroeira,taxa,-0.2051282051,-0.0256410256
119,mofumbo,angico,taxa,-0.04,0.0133333333
119,mofumbo,cating,taxa,-0.0365853659,-0.2682926829
119,mofumbo,aroeira,taxa,-0.1097560976,-0.0243902439
69,mororo,angico,taxa,0,0
69,mororo,cating,taxa,0,-0.012195122
69,mororo,aroeira,taxa,-0.1463414634,0
79,mororo,angico,taxa,-0.0853658537,-0.4146341463
79,mororo,cating,taxa,-0.0609756098,-0.3780487805
79,mororo,aroeira,taxa,-0.1739130435,0
84,mororo,angico,taxa,-0.0869565217,0
84,mororo,cating,taxa,-0.0487804878,0
84,mororo,aroeira,taxa,-0.1463414634,0
152,mororo,angico,taxa,-0.1219512195,0.012195122
152,mororo,cating,taxa,-0.0731707317,0
152,mororo,aroeira,taxa,-0.1097560976,0.012195122
93,mororo,angico,taxa,-0.0731707317,-0.2926829268
93,mororo,cating,taxa,-0.0731707317,0.0365853659
93,mororo,aroeira,taxa,-0.15,0.15
52,paubranco,angico,taxa,-0.1463414634,-0.4390243902
52,paubranco,cating,taxa,-0.0487804878,-0.0487804878
52,paubranco,aroeira,taxa,-0.2564102564,-0.0769230769
28,paubranco,angico,taxa,-0.1219512195,-0.0487804878
28,paubranco,cating,taxa,-0.0243902439,0
28,paubranco,aroeira,taxa,-0.1097560976,-0.0243902439
110,paubranco,angico,taxa,-0.1219512195,-0.0365853659
110,paubranco,cating,taxa,-0.0243902439,-0.0975609756
110,paubranco,aroeira,taxa,-0.1219512195,0.0609756098
33,paubranco,angico,taxa,-0.0609756098,0.0243902439
33,paubranco,cating,taxa,-0.0365853659,0
33,paubranco,aroeira,taxa,-0.243902439,0.1829268293
146,paubranco,angico,taxa,-0.0487804878,-0.4024390244
146,paubranco,cating,taxa,-0.0487804878,-0.3780487805
146,paubranco,aroeira,taxa,-0.36,-1.68
101,pereiro,angico,taxa,-0.1333333333,-0.0333333333
101,pereiro,cating,taxa,-0.25,-2
101,pereiro,aroeira,taxa,-0.1219512195,0.0243902439
82,pereiro,angico,taxa,-0.15,-0.0166666667
82,pereiro,cating,taxa,-0.0609756098,-0.3536585366
82,pereiro,aroeira,taxa,-0.243902439,-0.487804878
66,pereiro,angico,taxa,-0.1166666667,-0.55
66,pereiro,cating,taxa,-0.0666666667,-0.52
66,pereiro,aroeira,taxa,-0.5,-0.1875
129,pereiro,angico,taxa,-0.1066666667,-0.6
129,pereiro,cating,taxa,-0.0609756098,-0.1707317073
129,pereiro,aroeira,taxa,-0.1666666667,0
147,pereiro,angico,taxa,-0.15,-0.2
147,pereiro,cating,taxa,-0.0487804878,-0.012195122
147,pereiro,aroeira,taxa,-0.0731707317,-0.0609756098
32,umbu,angico,taxa,-0.1219512195,-0.0487804878
32,umbu,cating,taxa,-0.0731707317,-0.4146341463
32,umbu,aroeira,taxa,-0.1585365854,0.0243902439
115,umbu,angico,taxa,-0.0933333333,-0.0133333333
115,umbu,cating,taxa,-0.0365853659,-0.3292682927
115,umbu,aroeira,taxa,-0.1219512195,0.0243902439
158,umbu,angico,taxa,-0.1166666667,-0.0333333333
158,umbu,cating,taxa,-0.0243902439,0
158,umbu,aroeira,taxa,-0.1219512195,0.0487804878
141,umbu,angico,taxa,-0.0243902439,0.012195122
141,umbu,cating,taxa,-0.0243902439,0.0365853659
141,umbu,aroeira,taxa,-0.1463414634,-0.012195122
143,umbu,angico,taxa,-0.0975609756,-0.4390243902
143,umbu,cating,taxa,-0.0365853659,-0.012195122
143,umbu,aroeira,taxa,-0.1333333333,0.0133333333
