ID,especie,angico.a,aroeira.a,cating.a,angico.f,aroeira.f,cating.f,H_arvore,H_copa ,diam_copa,dens_mad,dens_casca,cap_arm_mad,cap_arm_casca,efet_agua_mad,efet_agua_casca,thick_casca
132,ipe,0.4882041875,0.0436418932,0.1332426346,0.5305944056,0.1851261444,0.0474358974,6,6,6.55,0.8944591029,0.5959183673,0.4100294985,1.5410958904,0.928057554,0.5955555556,2.45
134,feijao,0.0803311542,0.031788753,0.3026570049,0.0039432789,0.1693370036,0.0222222222,3.5,1.5,4.15,0.7694444444,0.5483870968,0.5722021661,1.3235294118,0.9558359621,0.7555555556,1.05
136,juca,0.2906483451,-0.1276438332,0.1660744182,0.3737179487,-0.1506168831,0.2239357865,4.6,3.1,8.95,0.7117552335,0.4864864865,0.6538461538,1.8888888889,0.9723183391,0.7058823529,1
143,umbu,0.0922207275,0.1094834016,0.0219018031,0.3583065485,0.0422031742,0.1872023809,9,8,14.9,0.5067357513,0.320754717,1.0746421268,3.1617647059,0.9724072312,0.7581395349,3.15
144,angico,0.2235511146,0.0204688832,0.1562399782,0.1296783626,-0.0741937229,0.2895652958,10,9,12,0.8549222798,0.8166666667,0.498989899,1,0.7287449393,0.5918367347,1.75
145,juca,0.4981429303,0.0967761489,-0.0681796757,0.4687728938,-0.1117784993,-0.4041369048,4.5,2.5,6.15,0.8319256757,0.6666666667,0.4923857868,1.4444444444,0.9525773196,0.6153846154,0.25
147,pereiro,0.1038788459,0.1216870599,-0.2488279478,-0.3919232983,0.1713342557,-0.0584608844,5,3.5,8.1,0.7030456853,0.4642857143,0.4620938628,1.9615384615,0.921875,0.7647058824,1.8
149,cumaru,0.7004926971,0.0495953281,-0.1062725667,0.5411820636,0.3423505239,0.1904761905,4.5,3,5.4,0.6173633441,0.7647058824,0.8385416667,0.8076923077,0.8248447205,0.8095238095,1.7
151,imburana,0.063800914,0.0961552022,0.2789868522,0.0698781291,0.1606295878,0.2366828087,4,3,4.2,0.2822185971,0.28,2.3179190751,4.2857142857,0.8204488778,0.7666666667,0.95
154,favelinha,-0.0636554622,0.142088301,0.032400972,0.0070866633,0.0949699416,0.2756696429,5.5,4,0.74,0.850877193,0.8461538462,0.470790378,1.0909090909,0.8394160584,0.0833333333,0.45
155,favelinha,0.2408989171,0.0236157353,0.0729733137,0.2790404041,0.0045469024,0.2676144877,6.5,2,1.5,0.8458781362,0.8235294118,0.4279661017,1,0.8415841584,0.4285714286,0.45
156,algodao,-0.0542081818,-0.1253783102,-0.0908849826,0.2538832754,-0.0826388889,0,7,5,5,0.271875,0.4285714286,1.8218390805,2,0.61829653,0.6666666667,2
157,algodao,0.3472356464,-0.0266250919,-0.1741067895,0.3762626263,0.050589364,0.120395328,6,4,4.35,0.4591836735,0.35,1.1466666667,2.5357142857,0.7170542636,0.7323943662,2.55
