id,nurse,target,tempo,var,indice,value
30,catanduva,cating,temp1,folha,RII,-0.1428571429
30,catanduva,aroeira,temp1,folha,RII,-0.1666666667
43,catanduva,angico,temp1,folha,RII,0.4545454545
43,catanduva,cating,temp1,folha,RII,0.1428571429
43,catanduva,aroeira,temp1,folha,RII,0
108,catanduva,angico,temp1,folha,RII,-0.125
108,catanduva,cating,temp1,folha,RII,0.25
108,catanduva,aroeira,temp1,folha,RII,-0.0476190476
65,catanduva,angico,temp1,folha,RII,0.4285714286
65,catanduva,cating,temp1,folha,RII,-0.1111111111
65,catanduva,aroeira,temp1,folha,RII,-0.1
131,catanduva,angico,temp1,folha,RII,0.2592592593
131,catanduva,cating,temp1,folha,RII,0
131,catanduva,aroeira,temp1,folha,RII,-0.0526315789
21,catingueira,angico,temp1,folha,RII,0.5652173913
21,catingueira,cating,temp1,folha,RII,-0.3333333333
21,catingueira,aroeira,temp1,folha,RII,0.1
35,catingueira,angico,temp1,folha,RII,0
35,catingueira,cating,temp1,folha,RII,-0.1666666667
35,catingueira,aroeira,temp1,folha,RII,0.0476190476
64,catingueira,angico,temp1,folha,RII,0.4285714286
64,catingueira,cating,temp1,folha,RII,0.2
64,catingueira,aroeira,temp1,folha,RII,-0.04
95,catingueira,angico,temp1,folha,RII,0.2258064516
95,catingueira,cating,temp1,folha,RII,0
95,catingueira,aroeira,temp1,folha,RII,0.1
127,catingueira,angico,temp1,folha,RII,-0.52
127,catingueira,cating,temp1,folha,RII,-0.1428571429
127,catingueira,aroeira,temp1,folha,RII,0.1304347826
97,cumaru,angico,temp1,folha,RII,-0.1
97,cumaru,cating,temp1,folha,RII,0.1428571429
97,cumaru,aroeira,temp1,folha,RII,0
149,cumaru,angico,temp1,folha,RII,0.1818181818
149,cumaru,cating,temp1,folha,RII,-0.2
149,cumaru,aroeira,temp1,folha,RII,0.1304347826
100,cumaru,angico,temp1,folha,RII,0.25
100,cumaru,cating,temp1,folha,RII,-0.2727272727
100,cumaru,aroeira,temp1,folha,RII,0.0526315789
53,cumaru,angico,temp1,folha,RII,-0.037037037
53,cumaru,cating,temp1,folha,RII,-0.3333333333
53,cumaru,aroeira,temp1,folha,RII,-0.12
23,cumaru,angico,temp1,folha,RII,0.4285714286
23,cumaru,cating,temp1,folha,RII,0.1428571429
23,cumaru,aroeira,temp1,folha,RII,0
138,favelinha,angico,temp1,folha,RII,0.1428571429
138,favelinha,cating,temp1,folha,RII,-0.5
138,favelinha,aroeira,temp1,folha,RII,0.0526315789
124,favelinha,angico,temp1,folha,RII,0
124,favelinha,cating,temp1,folha,RII,0.4285714286
124,favelinha,aroeira,temp1,folha,RII,-0.12
153,favelinha,angico,temp1,folha,RII,-0.1304347826
153,favelinha,cating,temp1,folha,RII,-0.3333333333
153,favelinha,aroeira,temp1,folha,RII,-0.1111111111
154,favelinha,angico,temp1,folha,RII,-0.25
154,favelinha,cating,temp1,folha,RII,0
154,favelinha,aroeira,temp1,folha,RII,-0.0909090909
155,favelinha,angico,temp1,folha,RII,-0.2727272727
155,favelinha,cating,temp1,folha,RII,0.4
155,favelinha,aroeira,temp1,folha,RII,-0.0434782609
24,feijao,angico,temp1,folha,RII,0.0952380952
24,feijao,cating,temp1,folha,RII,0.1428571429
24,feijao,aroeira,temp1,folha,RII,-0.1428571429
67,feijao,angico,temp1,folha,RII,0.1428571429
67,feijao,cating,temp1,folha,RII,0.6470588235
67,feijao,aroeira,temp1,folha,RII,0.0909090909
75,feijao,angico,temp1,folha,RII,-0.125
75,feijao,cating,temp1,folha,RII,-0.1111111111
75,feijao,aroeira,temp1,folha,RII,0.0476190476
80,feijao,angico,temp1,folha,RII,-0.2727272727
80,feijao,cating,temp1,folha,RII,0
80,feijao,aroeira,temp1,folha,RII,-0.0666666667
134,feijao,angico,temp1,folha,RII,-0.3846153846
134,feijao,cating,temp1,folha,RII,0
134,feijao,aroeira,temp1,folha,RII,0.0909090909
27,imbiratanha,angico,temp1,folha,RII,-0.0526315789
27,imbiratanha,cating,temp1,folha,RII,-0.3333333333
27,imbiratanha,aroeira,temp1,folha,RII,0.0476190476
150,imbiratanha,angico,temp1,folha,RII,0.1666666667
150,imbiratanha,cating,temp1,folha,RII,0.25
150,imbiratanha,aroeira,temp1,folha,RII,0.1111111111
73,imbiratanha,angico,temp1,folha,RII,-0.0909090909
73,imbiratanha,cating,temp1,folha,RII,0.2727272727
73,imbiratanha,aroeira,temp1,folha,RII,0.1
78,imbiratanha,angico,temp1,folha,RII,-0.1111111111
78,imbiratanha,cating,temp1,folha,RII,0.0909090909
78,imbiratanha,aroeira,temp1,folha,RII,-0.1
160,imbiratanha,angico,temp1,folha,RII,-0.2380952381
160,imbiratanha,cating,temp1,folha,RII,0.1111111111
160,imbiratanha,aroeira,temp1,folha,RII,0.1304347826
57,imburana,angico,temp1,folha,RII,-0.0588235294
57,imburana,cating,temp1,folha,RII,-0.2727272727
57,imburana,aroeira,temp1,folha,RII,0.1428571429
151,imburana,angico,temp1,folha,RII,0.1
151,imburana,cating,temp1,folha,RII,0.1428571429
151,imburana,aroeira,temp1,folha,RII,0.0434782609
74,imburana,angico,temp1,folha,RII,-0.5833333333
74,imburana,cating,temp1,folha,RII,0.2727272727
74,imburana,aroeira,temp1,folha,RII,-0.1428571429
76,imburana,angico,temp1,folha,RII,-0.3076923077
76,imburana,cating,temp1,folha,RII,-0.2
76,imburana,aroeira,temp1,folha,RII,0.2380952381
159,imburana,angico,temp1,folha,RII,0.2727272727
159,imburana,cating,temp1,folha,RII,-0.2
159,imburana,aroeira,temp1,folha,RII,0.0526315789
34,ipe,angico,temp1,folha,RII,-0.0833333333
34,ipe,cating,temp1,folha,RII,0.0909090909
34,ipe,aroeira,temp1,folha,RII,0
112,ipe,angico,temp1,folha,RII,0.1666666667
112,ipe,cating,temp1,folha,RII,0.25
112,ipe,aroeira,temp1,folha,RII,0.1111111111
55,ipe,angico,temp1,folha,RII,0.2631578947
55,ipe,cating,temp1,folha,RII,0
55,ipe,aroeira,temp1,folha,RII,-0.1
132,ipe,angico,temp1,folha,RII,0.0769230769
132,ipe,cating,temp1,folha,RII,0
132,ipe,aroeira,temp1,folha,RII,0.1666666667
118,ipe,angico,temp1,folha,RII,0.4
118,ipe,cating,temp1,folha,RII,-0.1428571429
118,ipe,aroeira,temp1,folha,RII,0.04
130,juca,angico,temp1,folha,RII,-0.0588235294
130,juca,cating,temp1,folha,RII,-0.4285714286
130,juca,aroeira,temp1,folha,RII,0.1578947368
136,juca,angico,temp1,folha,RII,0.0666666667
136,juca,cating,temp1,folha,RII,0.2727272727
136,juca,aroeira,temp1,folha,RII,-0.04
139,juca,angico,temp1,folha,RII,0.4782608696
139,juca,cating,temp1,folha,RII,0.3333333333
139,juca,aroeira,temp1,folha,RII,-0.1578947368
145,juca,angico,temp1,folha,RII,-0.2307692308
145,juca,cating,temp1,folha,RII,-0.625
145,juca,aroeira,temp1,folha,RII,-0.2
148,juca,angico,temp1,folha,RII,0
148,juca,cating,temp1,folha,RII,0.3333333333
148,juca,aroeira,temp1,folha,RII,-0.1538461538
46,jubranca,angico,temp1,folha,RII,-0.4285714286
46,jubranca,cating,temp1,folha,RII,0.5
46,jubranca,aroeira,temp1,folha,RII,0.3
19,jubranca,angico,temp1,folha,RII,-0.3333333333
19,jubranca,cating,temp1,folha,RII,0.25
19,jubranca,aroeira,temp1,folha,RII,-0.2307692308
56,jubranca,angico,temp1,folha,RII,-0.5
56,jubranca,cating,temp1,folha,RII,0
56,jubranca,aroeira,temp1,folha,RII,0.2413793103
70,jubranca,angico,temp1,folha,RII,0.1666666667
70,jubranca,cating,temp1,folha,RII,-0.5
70,jubranca,aroeira,temp1,folha,RII,-0.1818181818
68,jubranca,angico,temp1,folha,RII,0.2857142857
68,jubranca,cating,temp1,folha,RII,0
68,jubranca,aroeira,temp1,folha,RII,-0.0769230769
22,jupreta,angico,temp1,folha,RII,-0.25
22,jupreta,cating,temp1,folha,RII,0.1111111111
22,jupreta,aroeira,temp1,folha,RII,-0.2727272727
98,jupreta,angico,temp1,folha,RII,-0.1428571429
98,jupreta,cating,temp1,folha,RII,-0.3846153846
98,jupreta,aroeira,temp1,folha,RII,-0.1428571429
20,jupreta,angico,temp1,folha,RII,0.2222222222
20,jupreta,cating,temp1,folha,RII,-0.3333333333
20,jupreta,aroeira,temp1,folha,RII,-0.037037037
126,jupreta,angico,temp1,folha,RII,-0.4666666667
126,jupreta,cating,temp1,folha,RII,0.4
126,jupreta,aroeira,temp1,folha,RII,-0.1
125,jupreta,angico,temp1,folha,RII,0.1111111111
125,jupreta,cating,temp1,folha,RII,-0.2
125,jupreta,aroeira,temp1,folha,RII,0.0666666667
25,marmeleiro,angico,temp1,folha,RII,0.3846153846
25,marmeleiro,cating,temp1,folha,RII,0
