plot,nurse,target,tempo,altura,folha
23,cumaru,angico,temp2,0.0163934426,0.7142857143
23,cumaru,angico,temp3,0.0508474576,0.25
23,cumaru,angico,temp4,0,0
23,cumaru,angico,temp5,0.0508474576,0.2
23,cumaru,angico,temp6,0.0508474576,0
23,cumaru,angico,temp7,-1,-1
23,cumaru,angico,temp8,-1,-1
23,cumaru,angico,temp9,0,0
23,cumaru,aroeira,temp1,-0.0136986301,0
23,cumaru,aroeira,temp2,-0.0422535211,0
23,cumaru,aroeira,temp3,-0.0666666667,0.125
23,cumaru,aroeira,temp4,-0.0684931507,-0.4
23,cumaru,aroeira,temp5,-0.2380952381,0.6
23,cumaru,aroeira,temp6,0.0476190476,0
23,cumaru,aroeira,temp7,1,1
23,cumaru,aroeira,temp8,1,1
23,cumaru,aroeira,temp9,1,1
23,cumaru,cating,temp1,-0.1379310345,0.1428571429
23,cumaru,cating,temp2,-0.1071428571,0.1428571429
23,cumaru,cating,temp3,-0.1785714286,0.1428571429
23,cumaru,cating,temp4,-0.1071428571,0.1428571429
23,cumaru,cating,temp5,-0.1071428571,0.3333333333
23,cumaru,cating,temp6,-0.1186440678,0
23,cumaru,cating,temp7,-0.1071428571,0
23,cumaru,cating,temp8,-0.4042553191,0
23,cumaru,cating,temp9,-1,-1
24,feijao,angico,temp1,-0.1641791045,0.0952380952
24,feijao,angico,temp2,-0.1470588235,0.3333333333
24,feijao,angico,temp3,-0.125,0.8
24,feijao,angico,temp4,1,1
24,feijao,angico,temp5,1,1
24,feijao,angico,temp6,1,1
24,feijao,angico,temp7,1,1
24,feijao,angico,temp8,1,0
24,feijao,angico,temp9,0,0
24,feijao,aroeira,temp1,0.0117647059,-0.1428571429
24,feijao,aroeira,temp2,0.0238095238,-0.1428571429
24,feijao,aroeira,temp3,-0.0120481928,-0.6153846154
24,feijao,aroeira,temp4,0,-0.1
24,feijao,aroeira,temp5,1,1
24,feijao,aroeira,temp6,1,1
24,feijao,aroeira,temp7,1,1
24,feijao,aroeira,temp8,1,0.6
24,feijao,aroeira,temp9,1,1
24,feijao,cating,temp1,0.2156862745,0.1428571429
24,feijao,cating,temp2,0.2156862745,0
24,feijao,cating,temp3,0.2,-0.1428571429
24,feijao,cating,temp4,0.3043478261,-0.1428571429
24,feijao,cating,temp5,0.2156862745,0.5
24,feijao,cating,temp6,0.2,0
24,feijao,cating,temp7,0.1764705882,0.9090909091
24,feijao,cating,temp8,0.2156862745,0
24,feijao,cating,temp9,0,0.25
25,marmeleiro,angico,temp1,0.0882352941,0.3846153846
25,marmeleiro,angico,temp2,-0.3777777778,0.6818181818
25,marmeleiro,angico,temp3,0.1212121212,0.3333333333
25,marmeleiro,angico,temp4,0.1044776119,0.6
25,marmeleiro,angico,temp5,0.1044776119,0.6666666667
25,marmeleiro,angico,temp6,0.1014492754,0.6666666667
25,marmeleiro,angico,temp7,0.0909090909,0
25,marmeleiro,angico,temp8,0.0606060606,0
