plot	nurse	target	tempo	altura_imp	altura_rii	folhas_imp	folhas_rii
157	algodao	angico	4	-0.163265306	-0.153846154	0.272727273	0.333333333
157	algodao	angico	6	-0.173913043	-0.153846154	0.166666667	0.333333333
157	algodao	angico	7	-0.133333333	-0.111111111	0	0
157	algodao	angico	8	-0.254901961	-0.254901961	0	0
157	algodao	angico	9	-0.145833333	-0.132075472	0	0
157	algodao	aroeira	1	0.083333333	0.01369863	0.076923077	0.052631579
157	algodao	aroeira	2	-0.066666667	-0.015384615	0.16	0.25
157	algodao	aroeira	3	-0.1875	-0.044776119	0	0
157	algodao	aroeira	4	-0.294117647	-0.074626866	0	0
157	algodao	aroeira	6	-0.235294118	-0.0625	0	0
157	algodao	aroeira	7	0	0	-0.2	-0.2
157	algodao	aroeira	8	-0.133333333	-0.029411765	0.111111111	0.333333333
157	algodao	aroeira	9	-0.083333333	-0.03125	0	0
157	algodao	cating	1	-0.16	-0.16	0.083333333	0.142857143
157	algodao	cating	2	-0.235294118	-0.24	0.066666667	0.142857143
157	algodao	cating	3	-0.267857143	-0.319148936	0.090909091	0.142857143
157	algodao	cating	4	-0.163265306	-0.153846154	0.272727273	0.333333333
157	algodao	cating	6	-0.173913043	-0.153846154	0.166666667	0.333333333
157	algodao	cating	7	-0.133333333	-0.111111111	0	0
157	algodao	cating	8	-0.254901961	-0.254901961	0	0
157	algodao	cating	9	-0.145833333	-0.132075472	0	0
38	angico	angico	1	-0.235294118	-0.230769231	0	0
38	angico	angico	2	-0.183673469	-0.176470588	0	0
38	angico	angico	3	-0.156862745	-0.16	0	0
38	angico	angico	4	-0.215686275	-0.215686275	0	0
38	angico	angico	6	-0.212765957	-0.192307692	0.2	0.2
38	angico	angico	7	-0.244897959	-0.230769231	0	0
38	angico	angico	8	-0.204081633	-0.192307692	0	0
38	angico	angico	9	-0.2	-0.192307692	0	0
38	angico	aroeira	1	-0.347826087	-0.142857143	-0.266666667	-0.25
38	angico	aroeira	2	-0.238095238	-0.087719298	-0.227272727	-0.333333333
38	angico	aroeira	3	-0.25	-0.111111111	-0.108108108	-0.285714286
38	angico	aroeira	4	-0.291666667	-0.127272727	-0.714285714	-0.384615385
38	angico	aroeira	6	-0.318181818	-0.122807018	-0.6	-0.333333333
38	angico	aroeira	7	-0.348837209	-0.128205128	-0.6	-0.428571429
38	angico	aroeira	8	-0.375	-0.157894737	-0.5	-0.666666667
38	angico	aroeira	9	-0.266666667	-0.137931034	-0.666666667	-0.5
38	angico	cating	1	-0.235294118	-0.230769231	0	0
38	angico	cating	2	-0.183673469	-0.176470588	0	0
38	angico	cating	3	-0.156862745	-0.16	0	0
38	angico	cating	4	-0.215686275	-0.215686275	0	0
38	angico	cating	6	-0.212765957	-0.192307692	0.2	0.2
38	angico	cating	7	-0.244897959	-0.230769231	0	0
38	angico	cating	8	-0.204081633	-0.192307692	0	0
38	angico	cating	9	-0.2	-0.192307692	0	0
58	angico	angico	1	-0.027027027	-0.014492754	0.375	0.428571429
58	angico	angico	2	-0.102564103	-0.060606061	0	0
58	angico	angico	3	-0.05	-0.03030303	0	0
58	angico	angico	4	-0.051282051	-0.03030303	-0.2	-0.5
58	angico	angico	6	-0.057142857	-0.029411765	0	0
58	angico	angico	7	-0.081081081	-0.044776119	0	0
58	angico	angico	8	-0.054054054	-0.029411765	0	0
58	angico	angico	9	-0.1	-0.060606061	0	0
58	angico	aroeira	1	0.125	0.012345679	0.166666667	0.083333333
58	angico	aroeira	2	0.214285714	0.04	-0.058823529	-0.047619048
58	angico	aroeira	3	-0.3	-0.037974684	-0.024390244	-0.333333333
58	angico	aroeira	4	-0.222222222	-0.025	0.4	0.6
58	angico	aroeira	6	-0.363636364	-0.052631579	0.142857143	0.2
58	angico	aroeira	7	0	0	0.166666667	0.2
58	angico	aroeira	8	-0.222222222	-0.025	0	0
58	angico	aroeira	9	-0.125	-0.025	0	0
