id,nurse,target,indice,var,media_tempo
55,ipe,angico,RII,altura,0.625
55,ipe,angico,RII,folha,0.6458626513
55,ipe,aroeira,RII,altura,-0.2163472158
55,ipe,aroeira,RII,folha,0.0617370892
55,ipe,cating,RII,altura,-0.1696766176
55,ipe,cating,RII,folha,0.0548245614
56,jubranca,angico,RII,altura,-0.2103225634
56,jubranca,angico,RII,folha,-0.0083333333
56,jubranca,aroeira,RII,altura,0.2532844817
56,jubranca,aroeira,RII,folha,0.4831486043
56,jubranca,cating,RII,altura,-0.1106937492
56,jubranca,cating,RII,folha,0
57,imburana,angico,RII,altura,-0.1068963444
57,imburana,angico,RII,folha,0.1645768834
57,imburana,aroeira,RII,altura,-0.085397016
57,imburana,aroeira,RII,folha,0.10703125
57,imburana,cating,RII,altura,0.050008832
57,imburana,cating,RII,folha,-0.266857349
58,angico,angico,RII,altura,0.0039497704
58,angico,angico,RII,folha,-0.4592090428
58,angico,aroeira,RII,altura,-0.0110325729
58,angico,aroeira,RII,folha,0.0846726191
58,angico,cating,RII,altura,-0.0299130655
58,angico,cating,RII,folha,-0.016504329
60,mofumbo,angico,RII,altura,-0.3353649008
60,mofumbo,angico,RII,folha,-0.4683198381
60,mofumbo,aroeira,RII,altura,0.6578047264
60,mofumbo,aroeira,RII,folha,0.566576087
60,mofumbo,cating,RII,altura,-0.2273960535
60,mofumbo,cating,RII,folha,-0.0243506494
61,marmeleiro,angico,RII,altura,0.5295516304
61,marmeleiro,angico,RII,folha,0.34326373
61,marmeleiro,aroeira,RII,altura,0.1288577168
61,marmeleiro,aroeira,RII,folha,0.2553429027
61,marmeleiro,cating,RII,altura,0.1566260563
61,marmeleiro,cating,RII,folha,0.1626990241
62,mofumbo,angico,RII,altura,0.5371733024
62,mofumbo,angico,RII,folha,0.9244949495
62,mofumbo,aroeira,RII,altura,0.0725715003
62,mofumbo,aroeira,RII,folha,0.1268298368
62,mofumbo,cating,RII,altura,0.2584956949
62,mofumbo,cating,RII,folha,-0.0888480392
64,catingueira,angico,RII,altura,0.7826236264
64,catingueira,angico,RII,folha,0.8504464286
64,catingueira,aroeira,RII,altura,0.2709825914
64,catingueira,aroeira,RII,folha,0.0549967661
64,catingueira,cating,RII,altura,-0.3139132225
64,catingueira,cating,RII,folha,0.012962963
65,catanduva,angico,RII,altura,-0.2700497846
65,catanduva,angico,RII,folha,-0.0714285714
65,catanduva,aroeira,RII,altura,0.0985373282
65,catanduva,aroeira,RII,folha,0.1033333333
65,catanduva,cating,RII,altura,0.2863857466
65,catanduva,cating,RII,folha,0.0321428571
66,pereiro,angico,RII,altura,0.6169354839
66,pereiro,angico,RII,folha,0.6667956656
66,pereiro,aroeira,RII,altura,0.0305396912
66,pereiro,aroeira,RII,folha,0.1446581197
66,pereiro,cating,RII,altura,0.034002745
66,pereiro,cating,RII,folha,0.3736111111
67,feijao,angico,RII,altura,-0.6451612903
67,feijao,angico,RII,folha,-0.5892857143
67,feijao,aroeira,RII,altura,-0.0109436651
67,feijao,aroeira,RII,folha,0.1272727273
67,feijao,cating,RII,altura,0.2230444278
67,feijao,cating,RII,folha,0.2536406375
68,jubranca,angico,RII,altura,0.0279081797
68,jubranca,angico,RII,folha,0.073489011
68,jubranca,aroeira,RII,altura,-0.0193828992
68,jubranca,aroeira,RII,folha,0.2232634033
68,jubranca,cating,RII,altura,0.4376480656
68,jubranca,cating,RII,folha,0.2345238095
69,mororo,angico,RII,altura,0.0506138563
69,mororo,angico,RII,folha,0.0475284942
69,mororo,aroeira,RII,altura,0.0530437015
69,mororo,aroeira,RII,folha,0.0271202883
69,mororo,cating,RII,altura,0.0825262553
69,mororo,cating,RII,folha,0.119073726
70,jubranca,angico,RII,altura,0.2067377496
70,jubranca,angico,RII,folha,0.3049242424
70,jubranca,aroeira,RII,altura,-0.2669066188
70,jubranca,aroeira,RII,folha,0.0688488142
70,jubranca,cating,RII,altura,0.2392628205
70,jubranca,cating,RII,folha,-0.0916666667
71,mofumbo,angico,RII,altura,-0.4574543999
71,mofumbo,angico,RII,folha,-0.4500915751
71,mofumbo,aroeira,RII,altura,0.0354708162
71,mofumbo,aroeira,RII,folha,-0.0258152174
71,mofumbo,cating,RII,altura,0.145225763
71,mofumbo,cating,RII,folha,-0.1716666667
72,marmeleiro,angico,RII,altura,0.4878874038
72,marmeleiro,angico,RII,folha,0.4342009685
72,marmeleiro,aroeira,RII,altura,-0.1939850708
72,marmeleiro,aroeira,RII,folha,-0.0276495727
72,marmeleiro,cating,RII,altura,-0.1585306201
72,marmeleiro,cating,RII,folha,-0.1603163993
73,imbiratanha,angico,RII,altura,0.1799112871
73,imbiratanha,angico,RII,folha,-0.0116224355
73,imbiratanha,aroeira,RII,altura,0.2278446429
73,imbiratanha,aroeira,RII,folha,0.275
73,imbiratanha,cating,RII,altura,0.0094126081
73,imbiratanha,cating,RII,folha,0.523538961
74,imburana,angico,RII,altura,0.6002870264
74,imburana,angico,RII,folha,0.5589015152
74,imburana,aroeira,RII,altura,0.0462015754
74,imburana,aroeira,RII,folha,0.099906015
74,imburana,cating,RII,altura,-0.4373218245
74,imburana,cating,RII,folha,-0.1540404041
75,feijao,angico,RII,altura,0.1238108799
75,feijao,angico,RII,folha,0.2385416667
75,feijao,aroeira,RII,altura,-0.0072507351
75,feijao,aroeira,RII,folha,-0.2899277689
75,feijao,cating,RII,altura,0.1422527998
75,feijao,cating,RII,folha,0.3361111111
76,imburana,angico,RII,altura,0.5703781513
76,imburana,angico,RII,folha,0.6976495727
76,imburana,aroeira,RII,altura,-0.4744732678
76,imburana,aroeira,RII,folha,-0.4755411255
76,imburana,cating,RII,altura,0.2389757099
76,imburana,cating,RII,folha,-0.3035587639
78,imbiratanha,angico,RII,altura,-0.1404520747
78,imbiratanha,angico,RII,folha,0.1441129194
78,imbiratanha,aroeira,RII,altura,-0.1071893042
78,imbiratanha,aroeira,RII,folha,-0.3991071429
78,imbiratanha,cating,RII,altura,0.1177748506
78,imbiratanha,cating,RII,folha,0.1166125541
79,mororo,angico,RII,altura,0.1037545985
79,mororo,angico,RII,folha,0.4041666667
79,mororo,aroeira,RII,altura,0.0241782533
79,mororo,aroeira,RII,folha,-0.0137156271
79,mororo,cating,RII,altura,0.3854622962
79,mororo,cating,RII,folha,0.3854166667
80,feijao,angico,RII,altura,0.0834457077
80,feijao,angico,RII,folha,0.0714646465
80,feijao,aroeira,RII,altura,-0.4466970025
80,feijao,aroeira,RII,folha,-0.4286630037
80,feijao,cating,RII,altura,-0.0134523809
80,feijao,cating,RII,folha,-0.0654761905
81,burra,angico,RII,altura,-0.384991668
81,burra,angico,RII,folha,-0.4313295494
81,burra,aroeira,RII,altura,0.1121477947
81,burra,aroeira,RII,folha,0.0560606061
81,burra,cating,RII,altura,0.1066464238
