ID,especie,diam_madeira_mm,vol_ mad_cm3,peso_seco_madeira_g,peso_fresco_ mad_g,peso_sat_mad_g,cont_agua_mad,capac_arm_mad,dens_mad,diam_casca_mm,diam_casca_mm,Vol casca_cm3,peso_seco_casca_g,peso_fresco_casca_g,peso_sat_casca_g,cont_agua_casca,capac_arm_casca,dens_casca,espessura_casca_mm
130,juca,18.8,7.7,6.08,8.8,8.9,0.45,0.46,0.79,0.5,0.6,0.62,0.33,0.72,0.86,1.18,1.61,0.53,0.55
136,juca,18.5,6.21,4.42,7.23,7.31,0.64,0.65,0.71,1.1,0.9,0.37,0.18,0.42,0.52,1.33,1.89,0.49,1
145,juca,29.6,11.84,9.85,14.47,14.7,0.47,0.49,0.83,0.2,0.3,0.27,0.18,0.34,0.44,0.89,1.44,0.67,0.25
22,jupreta,32.3,33.11,27.63,38.28,39.99,0.39,0.45,0.83,2.8,2,1.75,1.09,1.68,2.15,0.54,0.97,0.62,2.4
20,jupreta,23.1,7.4,5.76,7.91,8.95,0.37,0.55,0.78,1.2,1.3,0.28,0.19,0.37,0.47,0.95,1.47,0.68,1.25
125,jupreta,18,7.36,5.95,8.22,8.61,0.38,0.45,0.81,1.3,1.4,0.65,0.4,0.69,0.82,0.73,1.05,0.62,1.35
48,marmeleiro,24.4,7.34,5.05,6.74,7.37,0.33,0.46,0.69,1.1,0.8,0.26,0.2,0.31,0.4,0.55,1,0.77,0.95
51,marmeleiro,16.9,3.54,2.55,3.32,3.58,0.3,0.4,0.72,0.8,0.4,0.51,0.34,0.62,0.76,0.82,1.24,0.67,0.6
61,marmeleiro,11.4,2.13,1.7,2.2,2.42,0.29,0.42,0.8,0.5,0.6,0.6,0.5,0.8,1.18,0.6,1.36,0.83,0.55
62,mofumbo,23.5,6.72,5.14,7.03,7.88,0.37,0.53,0.76,0.5,0.9,0.19,0.1,0.21,0.28,1.1,1.8,0.53,0.7
60,mofumbo,12.7,1.77,1.25,1.79,2.07,0.43,0.66,0.71,0.1,0.4,0.18,0.14,0.2,0.32,0.43,1.29,0.78,0.25
119,mofumbo,18.7,4.4,3.49,5.11,5.37,0.46,0.54,0.79,1.2,0.7,0.31,0.2,0.34,0.47,0.7,1.35,0.65,0.95
69,mororo,22.4,9.47,7.47,9.8,10.48,0.31,0.4,0.79,2.3,1.5,0.74,0.5,0.8,1.32,0.6,1.64,0.68,1.9
79,mororo,22.7,10.16,8,10.4,11.14,0.3,0.39,0.79,0.3,0.6,0.96,0.58,0.93,1.56,0.6,1.69,0.6,0.45
93,mororo,15.4,2.56,2.05,2.67,2.98,0.3,0.45,0.8,0.1,0.5,0.11,0.09,0.12,0.23,0.33,1.56,0.82,0.3
52,paubranco,30.4,13.12,8.5,11.77,12.52,0.38,0.47,0.65,1.8,1.2,0.37,0.2,0.36,0.62,0.8,2.1,0.54,1.5
28,paubranco,29.3,13.52,8.56,12.26,13.32,0.43,0.56,0.63,1.7,1.6,0.65,0.4,0.68,1.1,0.7,1.75,0.62,1.65
110,paubranco,32.2,10.02,6.65,9.46,10.37,0.42,0.56,0.66,1.4,1.7,0.54,0.37,0.62,1,0.68,1.7,0.69,1.55
101,pereiro,36.5,22.37,13.7,20.09,21.18,0.47,0.55,0.61,2.5,2.9,0.96,0.62,1.34,1.7,1.16,1.74,0.65,2.7
129,pereiro,14.2,3.8,2.88,4.04,4.25,0.4,0.48,0.76,1.4,1.7,0.9,0.54,0.95,1.17,0.76,1.17,0.6,1.55
147,pereiro,14.8,3.94,2.77,3.95,4.05,0.43,0.46,0.7,1.9,1.7,0.56,0.26,0.65,0.77,1.5,1.96,0.46,1.8
32,umbu,20.6,5.64,3.36,6.27,6.42,0.87,0.91,0.6,2.3,1.8,0.77,0.25,0.89,1.01,2.56,3.04,0.32,2.05
115,umbu,19.2,5.86,3.69,6.46,6.52,0.75,0.77,0.63,2.2,1.9,1.63,0.62,1.79,2.14,1.89,2.45,0.38,2.05
143,umbu,38.1,19.3,9.78,20,20.29,1.04,1.07,0.51,3.6,2.7,2.12,0.68,2.31,2.83,2.4,3.16,0.32,3.15
