id,nurse,angico.a,aroeira.a,cating.a,angico.f,aroeira.f,cating.f
101,pereiro,-0.0167969052,-0.0266936787,0.1015896749,0.1355873421,-0.0694853572,0.5160714286
102,burra,0.1967514383,0.0527440998,0.0835218094,0.0443753344,-0.3170383987,-0.1452850877
108,catanduva,0.6750984582,0.0332026118,0.4338184763,0.4557372291,-0.1044156567,0.4375
110,paubranco,0.1415118198,-0.0998058712,-0.3204797941,0.008211927,-0.1975877193,0.0016666667
111,angico,0.4684598735,-0.2944348703,-0.221437846,-0.0373484849,-0.3509359903,-0.1753913894
112,ipe,0.3464934043,0.0429968863,0.0500646801,0.2986111111,0.0951388889,-0.125
113,algodao,0.0389747163,0.2588958502,0.0304906222,0.2003968254,0.2457264957,0.1334842326
115,umbu,-0.1151437903,-0.1507015972,0.0676508341,0.1748724796,-0.2666737867,0.2083333333
118,ipe,-0.0377888666,-0.0329743442,0.0593253968,0.2005775577,-0.1122453151,-0.0505952381
119,mofumbo,-0.2152315304,0.108358935,0.4156028369,-0.0675647882,0.1095725578,0.3511904762
122,algodao,0.1584580754,0.111431491,-0.0227272315,0.1175212278,-0.1402777778,-0.0471254356
123,algodao,0.41149095,-0.0771403053,0.029971969,0.3361111111,0.1066729323,0.060218254
124,favelinha,0.7061634583,0.0550331593,-0.0171805262,0.6071428571,-0.2365460526,0.0235603544
125,jupreta,0.7051371624,-0.006039916,0.0424347905,0.6833600427,-0.1614748677,-0.0166666667
126,jupreta,0.5304442441,-0.0895913681,0.1248090289,0.2583333333,0.1951923077,0.1678571429
127,catingueira,-0.1667026955,-0.1556592325,-0.0161872441,-0.1085850397,-0.2856072822,-0.0913961039
128,burra,0.0508881609,0.0646693494,0.1351648352,0.3917366947,0.0274778844,0.1336659664
129,pereiro,0.1594929376,-0.0326373421,0.5624281778,0.5581699346,0.1634704969,0.3368055556
130,juca,0.0952307586,-0.1335533639,-0.1735910114,0.2378393665,-0.160954583,-0.1366883117
131,catanduva,0.0653618125,-0.0848104442,0.0039711733,0.0651271999,-0.2920075324,-0.0351351351
132,ipe,0.4882041875,0.0436418932,0.1332426346,0.5305944056,0.1851261444,0.0474358974
134,feijao,0.0803311542,0.031788753,0.3026570049,0.0039432789,0.1693370036,0.0222222222
136,juca,0.2906483451,-0.1276438332,0.1660744182,0.3737179487,-0.1506168831,0.2239357865
137,mofumbo,0.5381535894,-0.570385763,-0.0420814741,0.5222039474,-0.6257739938,0
138,favelinha,0.1865142115,-0.066678703,-0.1367242464,0.3307485323,-0.0854693552,-0.1487179487
139,juca,-0.0306563229,-0.0211920942,0.0552091042,0.3822032436,-0.1409947509,0.3889880952
141,umbu,-0.0395523555,-0.0612163429,0.0970075675,0.1607142857,-0.1300596616,0.0956909938
143,umbu,0.0922207275,0.1094834016,0.0219018031,0.3583065485,0.0422031742,0.1872023809
144,angico,0.2235511146,0.0204688832,0.1562399782,0.1296783626,-0.0741937229,0.2895652958
145,juca,0.4981429303,0.0967761489,-0.0681796757,0.4687728938,-0.1117784993,-0.4041369048
146,paubranco,0.4980263158,0.7515822785,-0.3188539531,0.4405172414,0.8784965035,-0.3035714286
147,pereiro,0.1038788459,0.1216870599,-0.2488279478,-0.3919232983,0.1713342557,-0.0584608844
148,juca,-0.0040955919,0.1060698782,-0.1211351688,-0.1875,-0.2586209113,0.1519589552
